Country,Average AQI,Continent
Algeria,88.2,Africa
Angola,83.9,Africa
Benin,67.1,Africa
Botswana,43.6,Africa
Burkina Faso,51.6,Africa
Burundi,62.7,Africa
Cabo Verde,38.0,Africa
Cameroon,69.0,Africa
Central African Republic,64.2,Africa
Chad,75.3,Africa
Comoros,33.0,Africa
Congo,87.6,Africa
Côte d'Ivoire,53.3,Africa
Democratic Republic of the Congo,114.8,Africa
Egypt,101.6,Africa
Equatorial Guinea,45.2,Africa
Eritrea,99.2,Africa
Ethiopia,78.7,Africa
Gabon,78.1,Africa
Gambia,147.0,Africa
Ghana,62.8,Africa
Guinea,62.5,Africa
Guinea-Bissau,138.8,Africa
Kenya,74.2,Africa
Lesotho,89.6,Africa
Liberia,38.0,Africa
Libya,105.4,Africa
Madagascar,31.0,Africa
Malawi,47.3,Africa
Mali,83.2,Africa
Mauritania,179.0,Africa
Mauritius,41.0,Africa
Morocco,45.4,Africa
Mozambique,36.8,Africa
Namibia,76.9,Africa
Niger,75.7,Africa
Nigeria,99.6,Africa
Rwanda,93.5,Africa
Senegal,152.4,Africa
Seychelles,26.0,Africa
Sierra Leone,44.2,Africa
Somalia,72.1,Africa
South Africa,113.0,Africa
South Sudan,60.3,Africa
Sudan,78.9,Africa
Togo,65.2,Africa
Tunisia,70.9,Africa
Uganda,85.3,Africa
United Republic of Tanzania,31.6,Africa
Zambia,40.7,Africa
Zimbabwe,43.7,Africa
