Country,Average AQI,Continent
Afghanistan,96.0,Asia
Armenia,53.6,Asia
Azerbaijan,58.8,Asia
Bahrain,188.0,Asia
Bangladesh,113.5,Asia
Bhutan,26.0,Asia
Cambodia,45.2,Asia
China,127.0,Asia
Cyprus,50.8,Asia
Georgia,40.6,Asia
India,153.0,Asia
Indonesia,93.0,Asia
Iran (Islamic Republic of),108.3,Asia
Iraq,114.1,Asia
Israel,87.8,Asia
Japan,51.7,Asia
Jordan,96.8,Asia
Kazakhstan,61.2,Asia
Kuwait,162.0,Asia
Kyrgyzstan,81.5,Asia
Lao People's Democratic Republic,43.5,Asia
Lebanon,72.0,Asia
Malaysia,81.6,Asia
Maldives,19.0,Asia
Mongolia,53.4,Asia
Myanmar,40.2,Asia
Nepal,116.4,Asia
Oman,137.5,Asia
Pakistan,178.8,Asia
Philippines,61.2,Asia
Qatar,157.5,Asia
Republic of Korea,421.0,Asia
Saudi Arabia,149.3,Asia
Singapore,91.0,Asia
Sri Lanka,63.5,Asia
State of Palestine,86.0,Asia
Syrian Arab Republic,86.9,Asia
Tajikistan,115.2,Asia
Thailand,53.6,Asia
Turkmenistan,104.7,Asia
United Arab Emirates,163.7,Asia
Uzbekistan,119.1,Asia
Viet Nam,87.0,Asia
Yemen,144.6,Asia
