Country,Average AQI
Afghanistan,96.0
Albania,68.2
Algeria,88.2
Andorra,29.3
Angola,83.9
Argentina,28.2
Armenia,53.6
Aruba,163.0
Australia,33.6
Austria,53.7
Azerbaijan,58.8
Bahrain,188.0
Bangladesh,113.5
Barbados,73.0
Belarus,38.5
Belgium,44.6
Belize,46.3
Benin,67.1
Bhutan,26.0
Bolivia (Plurinational State of),23.8
Bosnia and Herzegovina,60.6
Botswana,43.6
Brazil,44.6
Bulgaria,54.3
Burkina Faso,51.6
Burundi,62.7
Cabo Verde,38.0
Cambodia,45.2
Cameroon,69.0
Canada,43.3
Central African Republic,64.2
Chad,75.3
Chile,87.9
China,127.0
Colombia,66.1
Comoros,33.0
Congo,87.6
Costa Rica,58.8
Croatia,57.9
Cuba,63.1
Cyprus,50.8
Czechia,60.9
Côte d'Ivoire,53.3
Democratic Republic of the Congo,114.8
Denmark,38.0
Dominican Republic,108.1
Ecuador,45.3
Egypt,101.6
El Salvador,97.4
Equatorial Guinea,45.2
Eritrea,99.2
Estonia,38.8
Ethiopia,78.7
Finland,38.4
France,53.3
Gabon,78.1
Gambia,147.0
Georgia,40.6
Germany,48.2
Ghana,62.8
Greece,68.3
Guatemala,81.0
Guinea,62.5
Guinea-Bissau,138.8
Guyana,45.5
Haiti,101.7
Honduras,63.4
Hungary,63.6
Iceland,23.0
India,153.0
Indonesia,93.0
Iran (Islamic Republic of),108.3
Iraq,114.1
Ireland,40.2
Israel,87.4
Italy,62.0
Jamaica,90.7
Japan,51.7
Jordan,96.8
Kazakhstan,61.2
Kenya,74.2
Kingdom of Eswatini,119.3
Kuwait,162.0
Kyrgyzstan,81.5
Lao People's Democratic Republic,43.5
Latvia,39.9
Lebanon,72.0
Lesotho,89.6
Liberia,38.0
Libya,105.4
Lithuania,38.1
Luxembourg,44.5
Madagascar,31.0
Malawi,47.3
Malaysia,81.6
Maldives,19.0
Mali,83.2
Malta,51.4
Mauritania,179.0
Mauritius,41.0
Mexico,89.5
Monaco,56.0
Mongolia,53.4
Montenegro,64.8
Morocco,45.4
Mozambique,36.8
Myanmar,40.2
Namibia,76.9
Nepal,116.4
Netherlands,38.1
New Zealand,30.7
Nicaragua,48.0
Niger,75.7
Nigeria,99.6
Norway,35.5
Oman,137.5
Pakistan,178.8
Palau,16.0
Panama,68.4
Papua New Guinea,24.9
Paraguay,42.8
Peru,36.4
Philippines,61.2
Poland,52.5
Portugal,34.6
Qatar,157.5
Republic of Korea,421.0
Republic of Moldova,53.0
Republic of North Macedonia,66.8
Romania,53.9
Russian Federation,42.5
Rwanda,93.5
Saint Kitts and Nevis,90.0
Saint Lucia,79.0
Saudi Arabia,149.3
Senegal,152.4
Serbia,68.0
Seychelles,26.0
Sierra Leone,44.2
Singapore,91.0
Slovakia,67.5
Slovenia,70.9
Solomon Islands,18.0
Somalia,72.1
South Africa,113.0
South Sudan,60.3
Spain,38.5
Sri Lanka,63.5
State of Palestine,86.0
Sudan,78.9
Suriname,43.3
Sweden,36.2
Switzerland,55.2
Syrian Arab Republic,86.9
Tajikistan,115.2
Thailand,53.6
Togo,65.2
Trinidad and Tobago,94.5
Tunisia,70.9
Turkey,51.7
Turkmenistan,104.7
Uganda,85.3
Ukraine,51.1
United Arab Emirates,163.7
United Kingdom of Great Britain and Northern Ireland,39.5
United Republic of Tanzania,31.6
United States of America,59.7
Uruguay,26.7
Uzbekistan,119.1
Vanuatu,30.0
Venezuela (Bolivarian Republic of),77.7
Viet Nam,87.0
Yemen,144.6
Zambia,40.7
Zimbabwe,43.7
