Country,Average AQI,Continent
Albania,68.2,Europe
Andorra,29.3,Europe
Austria,53.7,Europe
Belarus,38.5,Europe
Belgium,44.6,Europe
Bosnia and Herzegovina,60.6,Europe
Bulgaria,54.3,Europe
Croatia,57.9,Europe
Czechia,60.9,Europe
Denmark,38.0,Europe
Estonia,38.8,Europe
Finland,38.4,Europe
France,53.3,Europe
Germany,48.2,Europe
Greece,68.3,Europe
Hungary,63.6,Europe
Iceland,23.0,Europe
Ireland,40.2,Europe
Italy,62.0,Europe
Latvia,39.9,Europe
Lithuania,38.1,Europe
Luxembourg,44.5,Europe
Malta,51.4,Europe
Monaco,56.0,Europe
Montenegro,64.8,Europe
Netherlands,38.1,Europe
Norway,35.5,Europe
Poland,52.5,Europe
Portugal,34.6,Europe
Republic of Moldova,53.0,Europe
Romania,53.9,Europe
Russian Federation,42.5,Europe
Serbia,68.0,Europe
Slovakia,67.5,Europe
Slovenia,70.9,Europe
Spain,38.5,Europe
Sweden,36.2,Europe
Switzerland,55.2,Europe
Ukraine,51.1,Europe
United Kingdom of Great Britain and Northern Ireland,39.5,Europe
