Country,Average AQI,Continent
Barbados,73.0,North America
Belize,46.3,North America
Canada,43.3,North America
Costa Rica,58.8,North America
Cuba,63.1,North America
Dominican Republic,108.1,North America
El Salvador,97.4,North America
Guatemala,81.0,North America
Haiti,101.7,North America
Honduras,63.4,North America
Jamaica,90.7,North America
Mexico,89.5,North America
Nicaragua,48.0,North America
Panama,68.4,North America
Saint Kitts and Nevis,90.0,North America
Saint Lucia,79.0,North America
Trinidad and Tobago,94.5,North America
United States of America,59.7,North America
